assessment_id,name,url,description,competencies,adaptive,col2_raw,test_type_raw,keys,combined_text
4302,Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,"We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.",A|E|B|C|D|P|A|B|C|D|E|K|P|S,True,,A E B C D P,A|E|B|C|D|P,"global skills development report. we are committed to providing you with a productive and privacy-friendly website experience. like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. you can review and opt out of our cookies using the 'show details' tab and checkboxes below. by clicking 'ok' you are opting in to the described cookie usage.. a|e|b|c|d|p|a|b|c|d|e|k|p|s"
3827,.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,"We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.",K|A|B|C|D|E|K|P|S,True,,K,K,".net framework 4.5. we are committed to providing you with a productive and privacy-friendly website experience. like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. you can review and opt out of our cookies using the 'show details' tab and checkboxes below. by clicking 'ok' you are opting in to the described cookie usage.. k|a|b|c|d|e|k|p|s"
4094,.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,"We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.",K|A|B|C|D|E|K|P|S,True,,K,K,".net mvc (new). we are committed to providing you with a productive and privacy-friendly website experience. like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. you can review and opt out of our cookies using the 'show details' tab and checkboxes below. by clicking 'ok' you are opting in to the described cookie usage.. k|a|b|c|d|e|k|p|s"
4099,.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,"We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.",K|A|B|C|D|E|K|P|S,True,,K,K,".net mvvm (new). we are committed to providing you with a productive and privacy-friendly website experience. like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. you can review and opt out of our cookies using the 'show details' tab and checkboxes below. by clicking 'ok' you are opting in to the described cookie usage.. k|a|b|c|d|e|k|p|s"
4018,.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,"We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.",K|A|B|C|D|E|K|P|S,True,,K,K,".net wcf (new). we are committed to providing you with a productive and privacy-friendly website experience. like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. you can review and opt out of our cookies using the 'show details' tab and checkboxes below. by clicking 'ok' you are opting in to the described cookie usage.. k|a|b|c|d|e|k|p|s"
4016,.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,"We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.",K|A|B|C|D|E|K|P|S,True,,K,K,".net wpf (new). we are committed to providing you with a productive and privacy-friendly website experience. like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. you can review and opt out of our cookies using the 'show details' tab and checkboxes below. by clicking 'ok' you are opting in to the described cookie usage.. k|a|b|c|d|e|k|p|s"
4165,.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,"We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.",K|A|B|C|D|E|K|P|S,True,,K,K,".net xaml (new). we are committed to providing you with a productive and privacy-friendly website experience. like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. you can review and opt out of our cookies using the 'show details' tab and checkboxes below. by clicking 'ok' you are opting in to the described cookie usage.. k|a|b|c|d|e|k|p|s"
4178,Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.",K|A|B|C|D|E|K|P|S,True,,K,K,"accounts payable (new). we are committed to providing you with a productive and privacy-friendly website experience. like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. you can review and opt out of our cookies using the 'show details' tab and checkboxes below. by clicking 'ok' you are opting in to the described cookie usage.. k|a|b|c|d|e|k|p|s"
4187,Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,"We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.",S|A|B|C|D|E|K|P|S,True,,S,S,"accounts payable simulation (new). we are committed to providing you with a productive and privacy-friendly website experience. like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. you can review and opt out of our cookies using the 'show details' tab and checkboxes below. by clicking 'ok' you are opting in to the described cookie usage.. s|a|b|c|d|e|k|p|s"
4179,Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,"We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.",K|A|B|C|D|E|K|P|S,True,,K,K,"accounts receivable (new). we are committed to providing you with a productive and privacy-friendly website experience. like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. you can review and opt out of our cookies using the 'show details' tab and checkboxes below. by clicking 'ok' you are opting in to the described cookie usage.. k|a|b|c|d|e|k|p|s"
4188,Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,"We are committed to providing you with a productive and privacy-friendly website experience. Like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. You can review and opt out of our cookies using the 'Show details' tab and checkboxes below. By clicking 'OK' you are opting in to the described cookie usage.",S|A|B|C|D|E|K|P|S,True,,S,S,"accounts receivable simulation (new). we are committed to providing you with a productive and privacy-friendly website experience. like most websites you visit, third parties, authorized by us, place cookies on your computer browser for tasks like keeping track of your viewing preferences, personalizing content, allowing you to view videos and share content via social media sites, and collecting site analytics to help us understand how our site is used. you can review and opt out of our cookies using the 'show details' tab and checkboxes below. by clicking 'ok' you are opting in to the described cookie usage.. s|a|b|c|d|e|k|p|s"
